Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Semi Ojeleye,PF,25,BOS,53,4,14.6,1.0,2.4,.395,0.5,1.5,.350,0.4,0.9,.469,.504,0.5,0.5,.889,0.4,1.5,1.9,0.5,0.3,0.1,0.2,1.1,2.9
Jahlil Okafor,C,24,NOP,27,9,15.6,3.3,5.3,.611,0.0,0.1,.500,3.2,5.3,.613,.615,1.4,2.1,.638,1.7,2.6,4.3,1.3,0.3,0.7,1.3,2.3,7.9
Elie Okobo,PG,22,PHO,47,3,13.2,1.3,3.4,.396,0.5,1.4,.354,0.9,2.0,.426,.469,0.9,1.3,.672,0.3,1.3,1.6,2.1,0.5,0.1,0.6,1.0,4.0
Josh Okogie,SG,21,MIN,53,19,24.5,2.7,6.6,.417,0.6,2.6,.250,2.1,4.0,.524,.466,2.6,3.2,.791,1.4,3.0,4.4,1.6,1.1,0.4,1.4,2.2,8.7
KZ Okpala,SF,20,MIA,5,0,5.2,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
Victor Oladipo,SG,27,IND,8,5,25.0,3.9,11.6,.333,1.4,5.5,.250,2.5,6.1,.408,.392,1.6,2.1,.765,0.8,1.4,2.1,2.6,0.5,0.1,2.0,1.5,10.8
Kelly Olynyk,C,28,MIA,50,4,19.4,2.6,5.6,.459,1.3,3.3,.399,1.3,2.3,.543,.575,1.3,1.5,.863,0.7,3.8,4.5,1.5,0.7,0.3,1.1,2.5,7.7
Miye Oni,SG,22,UTA,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
Cedi Osman,SF,24,CLE,56,56,29.1,4.1,9.2,.445,1.9,4.9,.385,2.2,4.3,.512,.547,0.9,1.4,.638,0.5,3.1,3.6,2.4,0.8,0.3,1.4,2.4,11.0
Kelly Oubre,SF,24,PHO,55,54,34.5,6.7,14.8,.450,1.9,5.5,.352,4.7,9.3,.509,.516,3.4,4.4,.781,1.2,5.3,6.5,1.5,1.3,0.7,1.5,3.4,18.7
Tariq Owens,PF,24,PHO,3,0,5.0,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,0.7,1.000,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
Jeremy Pargo,PG,33,GSW,3,0,14.7,3.7,7.3,.500,1.0,2.3,.429,2.7,5.0,.533,.568,0.0,0.3,.000,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
Jabari Parker,PF,24,TOT,33,23,25.8,6.0,12.1,.499,0.9,3.5,.267,5.1,8.6,.594,.538,1.7,2.2,.743,1.6,4.3,5.9,1.8,1.3,0.5,1.8,2.8,14.7
Jabari Parker,PF,24,ATL,32,23,26.2,6.2,12.3,.504,1.0,3.6,.270,5.2,8.7,.601,.543,1.7,2.3,.736,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,15.0
Jabari Parker,PF,24,SAC,1,0,15.0,1.0,6.0,.167,0.0,1.0,.000,1.0,5.0,.200,.167,2.0,2.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0
Chandler Parsons,SF,31,ATL,5,0,10.8,1.0,3.6,.278,0.8,2.8,.286,0.2,0.8,.250,.389,0.0,0.0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
Eric Paschall,PF,23,GSW,52,25,26.9,5.1,10.4,.486,0.6,2.0,.283,4.5,8.4,.536,.514,2.5,3.3,.775,1.4,3.3,4.7,1.7,0.6,0.3,1.6,2.1,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anžejs Pasečņiks,C,24,WAS,20,0,18.5,2.7,5.1,.529,0.0,0.1,.000,2.7,5.0,.540,.529,1.6,2.5,.620,1.9,2.9,4.7,0.9,0.4,0.5,1.1,2.9,7.0
Patrick Patterson,PF,30,LAC,46,18,12.6,1.5,3.9,.399,1.1,2.9,.373,0.5,1.0,.477,.539,0.6,0.7,.794,0.6,1.9,2.5,0.6,0.1,0.1,0.3,0.9,4.8
Justin Patton,C,22,OKC,5,0,4.8,0.8,2.0,.400,0.2,0.8,.250,0.6,1.2,.500,.450,0.0,0.0,,0.2,0.8,1.0,0.4,0.0,0.0,0.4,0.8,1.8
Chris Paul,PG,34,OKC,56,56,31.7,6.2,12.7,.487,1.6,4.5,.365,4.5,8.2,.554,.551,3.6,4.0,.896,0.4,4.7,5.1,6.7,1.5,0.1,2.1,2.3,17.5
Elfrid Payton,PG,25,NYK,36,27,27.4,4.3,9.9,.430,0.4,1.6,.237,3.9,8.3,.468,.449,0.8,1.6,.536,1.2,3.5,4.7,6.9,1.7,0.4,2.0,2.1,9.7
Gary Payton,PG,27,WAS,24,17,17.0,1.8,4.5,.407,0.5,1.7,.293,1.3,2.8,.478,.463,0.2,0.3,.500,1.0,2.0,3.0,1.9,1.3,0.3,0.8,2.0,4.3
Norvel Pelle,C,26,PHI,17,0,10.0,1.1,1.9,.545,0.0,0.0,,1.1,1.9,.545,.545,0.4,0.7,.500,0.9,2.5,3.4,0.4,0.1,1.5,0.8,2.1,2.5
Theo Pinson,SG,24,BRK,29,0,11.9,1.6,5.2,.296,0.5,2.7,.192,1.0,2.6,.405,.345,0.5,0.6,.938,0.3,1.4,1.8,1.8,0.5,0.1,1.1,1.1,4.1
Mason Plumlee,C,29,DEN,45,1,17.3,3.0,4.8,.613,0.0,0.1,.000,3.0,4.7,.624,.613,1.4,2.6,.552,1.8,3.7,5.4,2.4,0.6,0.6,1.5,2.2,7.3
Vincent Poirier,C,26,BOS,19,0,5.8,0.8,1.6,.484,0.1,0.1,.500,0.7,1.5,.483,.500,0.3,0.4,.857,0.5,1.3,1.8,0.4,0.1,0.3,0.3,1.2,1.9
Jakob Pöltl,C,24,SAS,56,9,17.0,2.4,3.8,.619,0.0,0.0,,2.4,3.8,.619,.619,0.6,1.3,.500,1.8,3.6,5.5,1.8,0.5,1.5,0.8,1.7,5.4
Shamorie Ponds,PG,21,TOR,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
Jordan Poole,SG,20,GSW,50,12,21.9,2.7,8.7,.310,1.2,4.7,.266,1.5,4.1,.360,.381,1.6,2.0,.828,0.1,2.0,2.1,2.0,0.6,0.2,1.1,1.6,8.3
Kevin Porter,SF,19,CLE,44,2,22.3,3.6,8.0,.451,1.0,2.9,.341,2.6,5.1,.513,.513,1.3,1.8,.713,0.4,2.7,3.1,2.0,0.9,0.2,1.9,2.8,9.5
Michael Porter,PF,21,DEN,41,1,14.0,3.0,6.0,.502,0.9,2.2,.422,2.1,3.8,.548,.579,0.8,1.0,.795,1.1,3.2,4.3,0.7,0.4,0.4,0.8,1.7,7.7
Otto Porter,SF,26,CHI,9,9,25.1,3.9,9.3,.417,1.8,4.4,.400,2.1,4.9,.432,.512,1.7,2.2,.750,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
Bobby Portis,C,24,NYK,56,4,20.9,3.8,8.6,.434,1.0,2.9,.356,2.7,5.7,.474,.494,1.1,1.4,.759,1.4,3.9,5.3,1.6,0.5,0.2,1.1,1.8,9.6
Kristaps Porziņģis,PF,24,DAL,43,43,30.6,6.4,15.2,.418,2.3,6.7,.353,4.0,8.6,.469,.495,3.5,4.4,.780,1.6,7.5,9.1,1.6,0.7,2.0,1.7,3.1,18.6
Dwight Powell,C,28,DAL,40,37,26.5,3.7,5.7,.638,0.3,1.0,.256,3.4,4.8,.716,.659,1.9,2.8,.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
Norman Powell,SG,26,TOR,38,17,28.2,5.5,11.1,.498,2.0,5.1,.401,3.5,6.1,.578,.589,2.2,2.6,.840,0.6,3.3,3.9,1.7,1.3,0.4,1.5,2.0,15.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Randle,PF,25,NYK,54,54,32.8,7.1,15.8,.453,1.0,3.9,.263,6.1,11.9,.514,.485,3.8,5.3,.707,2.3,7.3,9.6,3.2,0.8,0.3,3.1,2.8,19.1
Josh Reaves,SG,22,DAL,2,0,0.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Reddish,SF,20,ATL,50,32,26.5,3.3,9.2,.357,1.3,4.1,.304,2.0,5.1,.400,.425,1.8,2.2,.802,0.6,3.1,3.8,1.6,1.1,0.5,1.6,2.3,9.6
J.J. Redick,SG,35,NOP,52,35,26.9,4.8,10.7,.450,3.0,6.6,.452,1.8,4.1,.446,.590,2.8,3.1,.900,0.2,2.4,2.6,2.0,0.4,0.2,1.2,1.6,15.4
Naz Reid,C,20,MIN,21,2,12.9,3.0,7.1,.423,1.2,3.3,.357,1.8,3.8,.481,.507,1.0,1.3,.750,0.9,2.2,3.1,0.8,0.5,0.5,0.7,2.6,8.2
Josh Richardson,SG,26,PHI,43,41,30.9,5.3,12.2,.432,1.5,4.6,.332,3.7,7.6,.494,.495,2.2,2.7,.795,0.8,2.5,3.3,3.2,1.0,0.6,2.1,2.6,14.3
Austin Rivers,SG,27,HOU,52,4,23.5,3.0,7.3,.414,1.3,3.9,.341,1.7,3.3,.500,.507,1.0,1.5,.688,0.4,2.1,2.4,1.6,0.7,0.2,0.6,1.8,8.4
Duncan Robinson,SF,25,MIA,56,51,29.3,4.2,9.2,.457,3.5,8.1,.434,0.7,1.1,.629,.648,0.7,0.8,.891,0.1,3.0,3.2,1.4,0.5,0.2,0.8,2.9,12.7
Glenn Robinson,SF,26,TOT,52,50,30.3,4.9,10.2,.485,1.3,3.4,.386,3.6,6.8,.534,.549,1.2,1.4,.851,1.3,3.2,4.5,1.7,1.0,0.3,1.0,1.7,12.4
Glenn Robinson,SF,26,GSW,48,48,31.6,5.1,10.6,.481,1.4,3.5,.400,3.7,7.0,.522,.548,1.3,1.5,.851,1.4,3.3,4.7,1.8,0.9,0.3,1.0,1.7,12.9
Glenn Robinson,SF,26,PHI,4,2,14.5,3.3,5.8,.565,0.0,1.5,.000,3.3,4.3,.765,.565,0.0,0.0,,0.3,1.3,1.5,0.8,1.5,0.3,0.3,1.0,6.5
Jerome Robinson,SG,22,TOT,47,1,11.9,1.2,3.5,.341,0.5,1.7,.295,0.7,1.8,.384,.412,0.3,0.4,.571,0.1,1.6,1.7,1.1,0.3,0.2,0.6,1.4,3.1
Jerome Robinson,SG,22,LAC,42,1,11.3,1.1,3.2,.338,0.5,1.6,.284,0.6,1.6,.391,.408,0.3,0.5,.579,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3,2.9
Jerome Robinson,SG,22,WAS,5,0,17.0,2.0,5.6,.357,0.8,2.2,.364,1.2,3.4,.353,.429,0.2,0.4,.500,0.2,3.6,3.8,1.2,0.4,0.0,0.4,2.4,5.0
Justin Robinson,PG,22,WAS,9,0,5.4,0.6,1.3,.417,0.3,0.6,.600,0.2,0.8,.286,.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
Mitchell Robinson,C,21,NYK,52,7,22.5,3.9,5.4,.731,0.0,0.0,,3.9,5.4,.731,.731,1.3,2.3,.581,2.8,3.9,6.7,0.5,0.9,1.9,0.7,3.3,9.2
Isaiah Roby,SF,21,OKC,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Rajon Rondo,PG,33,LAL,40,2,20.9,3.0,7.0,.430,1.0,2.7,.352,2.1,4.3,.480,.498,0.7,1.0,.667,0.5,2.8,3.3,5.3,0.9,0.1,2.0,1.2,7.6
Derrick Rose,PG,31,DET,47,12,26.2,7.3,15.1,.486,0.9,3.0,.298,6.4,12.1,.533,.515,2.4,2.8,.862,0.5,1.9,2.4,5.7,0.8,0.3,2.5,1.0,18.0
Terrence Ross,SG,28,ORL,54,0,26.8,4.6,11.8,.385,2.2,6.9,.323,2.3,4.9,.473,.480,2.1,2.5,.832,0.2,2.8,3.1,1.1,1.1,0.4,1.0,1.4,13.5
Terry Rozier,PG,25,CHO,55,55,34.2,6.2,14.7,.419,2.6,6.7,.390,3.6,8.1,.444,.507,2.7,3.1,.869,0.8,3.7,4.5,4.0,1.0,0.2,2.3,2.1,17.6
Ricky Rubio,PG,29,PHO,49,49,31.3,4.3,10.7,.402,1.1,3.2,.335,3.2,7.4,.431,.453,2.7,3.3,.832,0.7,3.7,4.4,8.6,1.4,0.2,2.7,2.4,12.4
D'Angelo Russell,PG,23,TOT,36,36,32.3,8.2,19.1,.429,3.6,9.6,.372,4.6,9.4,.487,.523,3.6,4.4,.800,0.4,3.3,3.7,6.5,0.9,0.3,3.1,1.9,23.5
D'Angelo Russell,PG,23,GSW,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
D'Angelo Russell,PG,23,MIN,3,3,33.7,7.0,17.0,.412,3.0,8.7,.346,4.0,8.3,.480,.500,5.0,5.3,.938,0.3,3.7,4.0,9.7,1.0,0.3,4.0,2.0,22.0
Domantas Sabonis,C,23,IND,54,54,34.6,7.3,13.6,.536,0.2,1.1,.224,7.0,12.5,.563,.545,3.5,4.8,.729,3.0,9.4,12.5,4.8,0.7,0.5,2.7,3.3,18.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaKarr Sampson,SF,26,IND,19,10,13.5,1.8,3.2,.574,0.1,0.6,.167,1.7,2.6,.673,.590,0.2,0.5,.400,0.6,1.7,2.3,0.2,0.3,0.4,0.3,1.7,4.0
Dario Šarić,PF,25,PHO,50,43,24.3,3.5,7.9,.441,1.2,3.8,.312,2.3,4.2,.558,.515,1.2,1.4,.847,1.5,4.4,5.9,1.9,0.6,0.2,1.3,2.2,9.4
Tomáš Satoranský,PG,28,CHI,58,58,28.8,3.7,8.4,.441,1.1,3.2,.339,2.7,5.3,.502,.504,1.7,1.9,.867,1.1,2.7,3.7,5.4,1.3,0.1,1.9,2.1,10.2
Admiral Schofield,SF,22,WAS,26,2,11.2,1.2,2.9,.400,0.5,1.8,.298,0.6,1.1,.571,.493,0.3,0.5,.692,0.2,1.1,1.3,0.5,0.3,0.1,0.3,1.6,3.2
Dennis Schröder,PG,26,OKC,56,1,31.1,7.1,15.0,.470,2.0,5.2,.384,5.1,9.9,.515,.536,2.9,3.4,.849,0.3,3.5,3.8,4.0,0.7,0.2,2.6,2.2,19.0
Mike Scott,PF,31,PHI,56,7,17.1,2.0,5.0,.396,1.1,3.3,.341,0.9,1.7,.500,.507,0.4,0.5,.889,0.8,2.6,3.3,0.6,0.3,0.1,0.4,1.2,5.5
Thabo Sefolosha,PF,35,HOU,39,0,10.7,0.9,2.3,.416,0.4,1.4,.283,0.6,0.9,.611,.500,0.1,0.2,.375,0.5,1.8,2.3,0.6,0.6,0.3,0.4,1.1,2.4
Collin Sexton,SG,21,CLE,56,56,32.2,7.6,16.5,.458,1.4,3.8,.367,6.2,12.7,.485,.500,3.4,3.9,.851,1.0,2.2,3.1,2.8,1.0,0.1,2.2,2.1,19.8
Landry Shamet,SG,22,LAC,39,27,29.4,3.4,7.9,.430,2.4,6.0,.404,1.0,1.9,.514,.584,1.2,1.3,.902,0.1,1.9,2.0,1.9,0.4,0.2,0.8,3.0,10.4
Marial Shayok,SG,24,PHI,2,0,5.0,0.5,2.5,.200,0.5,1.5,.333,0.0,1.0,.000,.300,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.0,1.5
Iman Shumpert,SG,29,BRK,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
Pascal Siakam,PF,25,TOR,46,46,34.9,8.8,19.0,.464,2.2,5.9,.367,6.7,13.1,.508,.521,4.0,4.9,.809,1.2,6.4,7.5,3.4,1.0,0.9,2.4,2.7,23.7
Chris Silva,PF,23,MIA,38,0,7.7,1.1,1.7,.636,0.0,0.1,.000,1.1,1.7,.656,.636,0.8,1.2,.681,1.3,1.4,2.8,0.5,0.2,0.4,0.8,2.1,3.1
Ben Simmons,PG,23,PHI,54,54,35.7,6.7,11.4,.585,0.0,0.1,.333,6.6,11.3,.588,.587,3.3,5.3,.627,2.0,5.8,7.8,8.2,2.1,0.6,3.6,3.2,16.7
Anfernee Simons,SG,20,POR,57,4,22.2,3.4,8.3,.406,1.2,3.5,.335,2.2,4.8,.456,.476,1.2,1.5,.807,0.4,2.1,2.4,1.5,0.4,0.2,0.9,2.0,9.0
Alen Smailagić,PF,19,GSW,14,0,9.9,1.4,2.9,.500,0.2,0.9,.231,1.2,1.9,.630,.538,1.1,1.4,.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2
Marcus Smart,SG,25,BOS,45,31,31.8,4.2,11.0,.381,2.3,6.4,.353,1.9,4.5,.422,.485,1.9,2.3,.810,0.7,3.0,3.6,4.8,1.6,0.5,1.6,2.6,12.5
Dennis Smith,PG,22,NYK,31,2,15.5,2.0,5.9,.335,0.5,1.6,.300,1.5,4.3,.348,.376,0.7,1.5,.478,0.6,1.6,2.3,2.9,0.7,0.3,1.7,1.9,5.1
Ish Smith,PG,31,WAS,55,18,26.5,4.5,9.8,.453,0.9,2.6,.357,3.5,7.2,.487,.500,0.8,1.2,.672,0.5,2.7,3.2,4.7,0.9,0.4,1.3,1.4,10.7
Zhaire Smith,SG,20,PHI,7,0,4.6,0.4,1.6,.273,0.0,0.4,.000,0.4,1.1,.375,.273,0.3,0.6,.500,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Snell,SF,28,DET,52,50,27.3,2.9,6.5,.452,1.8,4.3,.412,1.1,2.1,.536,.591,0.4,0.4,1.000,0.1,1.6,1.8,1.8,0.5,0.2,0.5,1.6,8.1
Omari Spellman,PF,22,GSW,49,3,18.1,2.6,6.0,.431,0.9,2.2,.391,1.7,3.8,.454,.503,1.5,1.9,.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6
Max Strus,SG,23,CHI,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
Edmond Sumner,PG,24,IND,20,2,13.4,1.8,4.0,.438,0.4,1.3,.308,1.4,2.7,.500,.488,0.4,0.7,.615,0.4,1.1,1.5,1.4,0.7,0.3,0.8,1.4,4.3
Caleb Swanigan,PF,22,TOT,19,1,10.9,1.1,2.0,.526,0.0,0.1,.000,1.1,1.9,.556,.526,0.3,0.6,.417,1.2,2.7,3.8,0.8,0.1,0.3,1.3,2.2,2.4
Caleb Swanigan,PF,22,SAC,7,0,3.3,0.3,0.6,.500,0.0,0.0,,0.3,0.6,.500,.500,0.1,0.3,.500,0.3,0.7,1.0,0.3,0.1,0.3,0.9,1.1,0.7
Caleb Swanigan,PF,22,POR,12,1,15.4,1.5,2.8,.529,0.0,0.2,.000,1.5,2.7,.563,.529,0.3,0.8,.400,1.7,3.8,5.5,1.2,0.1,0.3,1.5,2.8,3.3
Jayson Tatum,PF,21,BOS,52,52,34.2,8.2,18.4,.445,2.7,6.9,.386,5.5,11.5,.481,.518,3.8,4.7,.822,1.0,5.9,7.0,2.9,1.4,0.9,2.2,2.1,22.9
Jeff Teague,PG,31,TOT,50,16,25.8,3.7,8.5,.434,0.8,2.1,.369,2.9,6.5,.455,.479,3.1,3.6,.871,0.4,2.0,2.4,5.6,0.8,0.3,2.1,1.9,11.3
Jeff Teague,PG,31,MIN,34,13,27.8,4.3,9.5,.448,1.0,2.6,.379,3.3,7.0,.473,.498,3.7,4.2,.868,0.4,2.1,2.6,6.1,0.7,0.4,2.2,2.1,13.2
Jeff Teague,PG,31,ATL,16,3,21.5,2.5,6.4,.392,0.3,1.0,.313,2.2,5.4,.407,.417,1.9,2.1,.882,0.4,1.6,2.0,4.4,0.9,0.2,1.8,1.7,7.2
Garrett Temple,SG,33,BRK,50,31,28.2,3.6,9.5,.376,2.0,6.2,.327,1.5,3.2,.469,.483,1.1,1.4,.768,0.5,3.0,3.5,2.5,0.8,0.4,1.1,1.8,10.2
Daniel Theis,C,27,BOS,50,49,23.2,3.5,6.3,.558,0.5,1.4,.333,3.1,5.0,.621,.595,1.3,1.7,.736,2.2,4.3,6.5,1.5,0.6,1.3,0.8,3.5,8.8
Isaiah Thomas,PG,30,WAS,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
Khyri Thomas,SG,23,DET,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Matt Thomas,SG,25,TOR,26,0,10.3,1.7,3.4,.511,1.2,2.3,.508,0.5,1.0,.519,.688,0.2,0.3,.714,0.2,1.2,1.3,0.5,0.3,0.0,0.4,0.9,4.8
Tristan Thompson,C,28,CLE,52,48,30.4,5.1,9.8,.518,0.2,0.3,.500,4.9,9.5,.518,.525,1.8,2.8,.637,4.1,6.2,10.3,2.1,0.6,0.9,1.9,2.2,12.1
Matisse Thybulle,SG,22,PHI,49,10,20.0,1.6,4.1,.402,1.0,2.6,.367,0.7,1.4,.465,.520,0.5,0.8,.649,0.5,1.0,1.5,1.2,1.4,0.8,0.8,2.2,4.7
Anthony Tolliver,PF,34,TOT,42,9,15.1,1.1,3.2,.343,0.8,2.5,.308,0.3,0.7,.467,.463,0.3,0.5,.667,0.7,2.2,2.9,0.8,0.3,0.2,0.6,1.4,3.3
Anthony Tolliver,PF,34,POR,33,9,16.8,1.3,3.5,.368,0.9,2.7,.337,0.4,0.8,.464,.496,0.4,0.6,.684,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
Anthony Tolliver,PF,34,SAC,9,0,9.1,0.3,1.9,.176,0.2,1.7,.133,0.1,0.2,.500,.235,0.1,0.2,.500,0.2,1.0,1.2,0.3,0.4,0.1,0.4,0.7,1.0
Juan Toscano-Anderson,SF,26,GSW,5,0,20.0,3.2,5.6,.571,1.0,1.8,.556,2.2,3.8,.579,.661,0.2,0.2,1.000,0.2,4.0,4.2,2.2,1.2,0.6,1.2,1.4,7.6
Karl-Anthony Towns,C,24,MIN,35,35,33.9,9.0,17.8,.508,3.3,7.9,.412,5.8,9.9,.586,.600,5.1,6.5,.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
Gary Trent,SG,21,POR,45,4,18.6,2.5,5.9,.429,1.5,3.6,.407,1.1,2.3,.462,.553,0.5,0.5,.875,0.4,1.1,1.5,0.9,0.7,0.2,0.3,1.2,7.0
Allonzo Trier,PG,24,NYK,20,1,12.3,1.9,4.3,.435,0.8,2.3,.326,1.1,2.0,.564,.524,1.6,2.0,.795,0.2,1.1,1.3,1.2,0.1,0.2,1.0,1.2,6.0
P.J. Tucker,PF,34,HOU,56,56,34.9,2.6,6.0,.440,1.5,4.1,.374,1.1,1.9,.578,.567,0.7,0.8,.841,1.5,5.4,6.9,1.6,1.1,0.4,1.1,3.3,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayjon Tucker,SG,22,UTA,13,0,5.8,0.6,1.5,.421,0.0,0.5,.000,0.6,1.0,.615,.421,0.2,0.4,.600,0.2,0.8,0.9,0.2,0.1,0.0,0.2,0.5,1.5
Evan Turner,PG,31,ATL,19,0,13.2,1.3,3.5,.373,0.0,0.3,.000,1.3,3.3,.403,.373,0.6,0.7,.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3
Myles Turner,C,23,IND,47,47,29.1,4.1,9.2,.447,1.4,4.2,.335,2.7,5.0,.540,.523,2.0,2.7,.762,1.2,5.0,6.2,1.2,0.8,1.9,1.3,2.5,11.7
Jonas Valančiūnas,C,27,MEM,53,53,25.9,6.2,10.6,.582,0.5,1.4,.375,5.7,9.2,.612,.606,1.8,2.4,.721,2.9,7.7,10.6,1.8,0.5,1.2,1.8,2.7,14.6
Denzel Valentine,SF,26,CHI,30,0,12.2,2.2,5.5,.402,1.2,3.4,.356,1.0,2.1,.476,.512,0.2,0.2,1.000,0.1,1.8,1.9,1.1,0.7,0.2,0.7,1.3,5.8
Jarred Vanderbilt,SF-PF,20,TOT,11,0,4.2,0.5,0.7,.625,0.0,0.1,.000,0.5,0.6,.714,.625,0.2,0.2,1.000,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
Jarred Vanderbilt,SF,20,DEN,9,0,4.6,0.6,0.8,.714,0.0,0.0,,0.6,0.8,.714,.714,0.0,0.0,,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1
Jarred Vanderbilt,PF,20,MIN,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
Fred VanVleet,PG,25,TOR,47,47,35.8,6.0,14.6,.410,2.7,7.0,.389,3.3,7.6,.430,.504,3.0,3.5,.842,0.4,3.4,3.8,6.7,1.9,0.3,2.3,2.4,17.7
Gabe Vincent,PG,23,MIA,4,0,10.3,1.0,4.8,.211,1.0,4.0,.250,0.0,0.8,.000,.316,0.0,0.0,,0.0,0.8,0.8,0.8,0.3,0.0,0.0,0.5,3.0
Noah Vonleh,C-PF,24,TOT,31,1,11.6,1.6,2.8,.557,0.1,0.5,.200,1.5,2.4,.630,.574,0.8,1.0,.800,1.1,2.8,3.9,0.8,0.4,0.2,0.7,1.2,4.0
Noah Vonleh,C,24,MIN,29,1,12.0,1.6,3.0,.547,0.1,0.5,.143,1.6,2.5,.625,.558,0.8,1.0,.821,1.2,2.8,4.0,0.9,0.4,0.2,0.7,1.2,4.1
Noah Vonleh,PF,24,DEN,2,0,7.0,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.5,1.0,.500,0.5,2.0,2.5,0.0,0.0,0.0,1.0,1.0,3.0
Nikola Vučević,C,29,ORL,45,45,32.3,7.7,16.8,.458,1.7,4.9,.338,6.0,11.9,.507,.507,2.0,2.6,.780,2.6,8.2,10.8,3.7,1.0,0.9,1.4,2.2,19.1
Dean Wade,PF,23,CLE,10,0,5.4,0.7,1.0,.700,0.2,0.3,.667,0.5,0.7,.714,.800,0.0,0.1,.000,0.2,1.4,1.6,0.1,0.2,0.3,0.3,0.7,1.6
Moritz Wagner,C,22,WAS,28,4,19.9,4.1,7.2,.574,0.8,2.3,.354,3.3,4.9,.679,.631,1.7,2.1,.800,1.3,4.3,5.6,1.3,0.6,0.6,1.8,3.6,10.8
Dion Waiters,SG,28,MIA,3,0,14.0,3.3,8.7,.385,2.7,5.7,.471,0.7,3.0,.222,.538,0.0,0.3,.000,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
